GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..,  use air resistance
0.171414, 0.171414, 0, 1, 1.659047, 26.370508, 9.678598, 7.995313, -9.374998, -58.474998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.196776, 0.025362, 0, 1, 1.903461, 26.566097, 9.637020, 7.711912, -8.196913, -55.871323, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.215361, 0.018585, 0, 1, 2.082008, 26.705585, 9.607015, 7.505395, -8.072490, -55.559914, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.234262, 0.018901, 0, 1, 2.263019, 26.843491, 9.576818, 7.296196, -7.988178, -55.340694, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.253519, 0.019257, 0, 1, 2.446853, 26.979904, 9.546360, 7.083889, -7.908158, -55.124912, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.272568, 0.019049, 0, 1, 2.628134, 27.110861, 9.516520, 6.874684, -7.832450, -54.912079, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.294239, 0.021671, 0, 1, 2.833637, 27.254704, 9.482872, 6.637568, -7.763208, -54.708099, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.318102, 0.023863, 0, 1, 3.059051, 27.406891, 9.446166, 6.377541, -7.691031, -54.483364, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.344461, 0.026359, 0, 1, 3.306983, 27.567459, 9.405998, 6.091577, -7.619404, -54.244209, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.368335, 0.023874, 0, 1, 3.530681, 27.706736, 9.369951, 5.833789, -7.549413, -53.989201, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.393655, 0.025320, 0, 1, 3.766968, 27.847553, 9.332003, 5.561519, -7.493875, -53.765732, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.416483, 0.022828, 0, 1, 3.979223, 27.968931, 9.298023, 5.317098, -7.442542, -53.535473, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.440419, 0.023936, 0, 1, 4.200933, 28.090090, 9.262587, 5.061781, -7.402466, -53.333118, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.461111, 0.020692, 0, 1, 4.391963, 28.190279, 9.232102, 4.841927, -7.366185, -53.125443, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.483698, 0.022587, 0, 1, 4.599740, 28.294241, 9.198949, 4.602735, -7.339119, -52.949120, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.503402, 0.019704, 0, 1, 4.780428, 28.380836, 9.170127, 4.394820, -7.313610, -52.759396, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.520856, 0.017454, 0, 1, 4.940039, 28.454340, 9.144664, 4.211218, -7.294386, -52.595863, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.546250, 0.025394, 0, 1, 5.171319, 28.554514, 9.107694, 3.944824, -7.279398, -52.452244, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.569816, 0.023566, 0, 1, 5.385145, 28.641674, 9.073474, 3.698584, -7.260451, -52.244724, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.595101, 0.025285, 0, 1, 5.613642, 28.728537, 9.036835, 3.435350, -7.245252, -52.053352, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.614301, 0.019200, 0, 1, 5.786616, 28.790672, 9.009068, 3.236251, -7.230722, -51.848755, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
