GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..,  use air resistance
1.029105, 0.034053, 0, 1, 5.000000, 5.016349, -0.000000, -8.826491, -0.000001, -45.602505, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
1.029105, 0.034053, 0, 4, 17.000000, 15.188886, -0.000000, -8.259552, -0.000001, -36.870598, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
1.029105, 0.034053, 0, 1, 10.901544, 16.326382, -5.859883, -2.180357, 0.643784, -48.897198, 5.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
2.001300, 0.019588, 0, 1, 5.000000, 3.108672, 0.000000, -1.865338, -0.000000, -67.862778, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
2.001300, 0.019588, 0, 4, 17.000000, 14.346735, 0.000000, -3.573146, -0.000000, -63.108719, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
2.001300, 0.019588, 0, 1, 5.271802, 9.494520, -5.707022, -11.532918, 1.166673, -46.781673, 5.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
3.007370, 0.016666, 0, 1, 5.000000, 2.192437, 0.000000, 0.296547, 0.000000, -68.806229, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
3.007370, 0.016666, 0, 4, 17.000000, 13.842043, -0.000000, -1.678034, -0.000000, -67.616608, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
3.007370, 0.016666, 0, 1, 3.661772, 5.163489, 2.817729, 4.186651, -0.218025, -49.436607, 5.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
4.026787, 0.030271, 0, 1, 5.000000, 2.023717, -0.000000, -0.845422, 0.000000, -68.645958, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
4.026787, 0.030271, 0, 4, 17.000000, 13.792185, -0.000000, 0.417903, -0.000003, 0.000000, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
4.026787, 0.030271, 0, 1, 6.517066, 4.179277, 2.782910, -5.811536, -0.276451, -48.552216, 5.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
5.026339, 0.030465, 0, 1, 5.000000, 2.045805, -0.000000, 0.126994, 0.000000, -68.796814, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
5.026339, 0.030465, 0, 4, 17.000000, 13.815182, -0.000000, 0.528710, -0.000003, 0.000000, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
5.026339, 0.030465, 0, 1, 6.387356, 3.163743, -1.405930, -1.455103, 0.036007, -49.070393, 5.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
6.018892, 0.027615, 0, 1, 5.000000, 2.046052, -0.000000, -0.153040, 0.000000, -68.744362, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
6.018892, 0.027615, 0, 4, 17.000000, 13.790941, -0.000000, 0.416817, -0.000003, 0.000000, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
6.018892, 0.027615, 0, 1, 6.267388, 1.934939, 0.713669, -2.565640, -0.030696, -49.001308, 5.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
7.010205, 0.029679, 0, 1, 5.000000, 2.037905, -0.000000, 0.093438, 0.000000, -68.786339, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
7.010205, 0.029679, 0, 4, 17.000000, 13.807565, -0.000000, 0.234186, 0.000000, -68.875160, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
7.010205, 0.029679, 0, 1, 6.201705, 1.746994, -0.095109, 1.160730, -0.007164, 0.000000, 5.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
8.021946, 0.027828, 0, 1, 5.000000, 2.040287, -0.000000, 0.086447, 0.000000, -68.780472, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
8.021946, 0.027828, 0, 4, 17.000000, 13.812875, -0.000000, -0.303194, 0.000000, -68.739563, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
8.021946, 0.027828, 0, 1, 6.184340, 1.699466, -0.006486, 0.715918, -0.000281, 0.000000, 5.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
9.024384, 0.026792, 0, 1, 5.000000, 2.021364, -0.000000, -0.567857, 0.000000, -68.710953, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
9.024384, 0.026792, 0, 4, 17.000000, 13.839097, -0.000000, -0.118645, 0.000000, -68.750191, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
9.024384, 0.026792, 0, 1, 6.184021, 1.771621, -0.000443, 0.139873, 0.000003, -49.103168, 5.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
10.016438, 0.027529, 0, 1, 5.000000, 2.015176, -0.000000, -0.883174, 0.000000, -68.622452, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
10.016438, 0.027529, 0, 4, 17.000000, 13.789819, -0.000000, -0.159201, 0.000000, -68.746033, 7.000000, 0.000000, 0.000000, 0.700000, 0.500000, 1, 
