GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..,  use air resistance
0.016965, 0.016965, 0, 1, 1.169650, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.016965, 0.016965, 1, 1, 18.830351, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.033631, 0.016666, 0, 1, 1.336310, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.033631, 0.016666, 1, 1, 18.663691, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.050297, 0.016666, 0, 1, 1.502970, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.050297, 0.016666, 1, 1, 18.497030, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.066963, 0.016666, 0, 1, 1.669630, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.066963, 0.016666, 1, 1, 18.330370, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.083629, 0.016666, 0, 1, 1.836290, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.083629, 0.016666, 1, 1, 18.163710, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.100295, 0.016666, 0, 1, 2.002950, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.100295, 0.016666, 1, 1, 17.997049, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.138388, 0.038093, 0, 1, 2.383880, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.138388, 0.038093, 1, 1, 17.616119, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.156718, 0.018330, 0, 1, 2.567180, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.156718, 0.018330, 1, 1, 17.432819, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.174758, 0.018040, 0, 1, 2.747580, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.174758, 0.018040, 1, 1, 17.252419, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.192300, 0.017542, 0, 1, 2.923000, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.192300, 0.017542, 1, 1, 17.076998, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.210207, 0.017907, 0, 1, 3.102070, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.210207, 0.017907, 1, 1, 16.897928, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.228526, 0.018319, 0, 1, 3.285260, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.228526, 0.018319, 1, 1, 16.714739, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.246005, 0.017479, 0, 1, 3.460050, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.246005, 0.017479, 1, 1, 16.539949, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.263359, 0.017354, 0, 1, 3.633590, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.263359, 0.017354, 1, 1, 16.366409, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.281116, 0.017757, 0, 1, 3.811160, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.281116, 0.017757, 1, 1, 16.188839, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.298305, 0.017189, 0, 1, 3.983050, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.298305, 0.017189, 1, 1, 16.016949, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.315526, 0.017221, 0, 1, 4.155261, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.315526, 0.017221, 1, 1, 15.844739, 5.000000, -10.000000, 0.000000, 0.000000, 0.000000, 5.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
0.332774, 0.017248, 0, 1, 4.327741, 5.000000, 10.000000, 0.000000, 0.000000, 0.000000, 10.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0, 
