GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..,  use air resistance
0.016666, 0.016666, 0, 1, 10.000000, 14.997272, 0.000000, -0.163660, 0.000000, -98.199997, 10.000000, 45.000000, 0.500000, 0.500000, 0.500000, 0, 
0.016666, 0.016666, 1, 1, 15.000000, 14.997272, 0.000000, -0.163660, 0.000000, -98.199997, 10.000000, 45.000000, 0.500000, 0.500000, 0.500000, 0, 
0.016666, 0.016666, 2, 1, 12.166660, 15.163933, 10.000000, 9.836340, 0.000000, -98.199997, 10.000000, 45.000000, 0.500000, 0.500000, 0.500000, 0, 
0.016666, 0.016666, 3, 1, 18.000000, 19.997272, 0.000000, -0.163660, 0.000000, -98.199997, 10.000000, 45.000000, 0.500000, 0.500000, 0.500000, 0, 
0.033332, 0.016666, 0, 1, 10.000000, 14.991817, 0.000000, -0.327320, 0.000000, -98.199997, 10.000000, 45.000000, 0.500000, 0.500000, 0.500000, 0, 
0.033332, 0.016666, 1, 1, 15.000000, 14.991817, 0.000000, -0.327320, 0.000000, -98.199997, 10.000000, 45.000000, 0.500000, 0.500000, 0.500000, 0, 
0.033332, 0.016666, 2, 1, 12.333321, 15.325138, 10.000000, 9.672680, 0.000000, -98.199997, 10.000000, 45.000000, 0.500000, 0.500000, 0.500000, 0, 
0.033332, 0.016666, 3, 1, 18.000000, 19.991817, 0.000000, -0.327320, 0.000000, -98.199997, 10.000000, 45.000000, 0.500000, 0.500000, 0.500000, 0, 
0.049998, 0.016666, 0, 1, 10.000000, 14.983635, 0.000000, -0.490980, 0.000000, -98.199997, 10.000000, 45.000000, 0.500000, 0.500000, 0.500000, 0, 
0.049998, 0.016666, 1, 1, 15.000000, 14.983635, 0.000000, -0.490980, 0.000000, -98.199997, 10.000000, 45.000000, 0.500000, 0.500000, 0.500000, 0, 
0.049998, 0.016666, 2, 1, 12.499981, 15.483616, 10.000000, 9.509020, 0.000000, -98.199997, 10.000000, 45.000000, 0.500000, 0.500000, 0.500000, 0, 
