GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..,  use air resistance
0.016666, 0.016666, 0, 1, 500.000000, 999.997253, 0.000000, -0.163660, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.033332, 0.016666, 0, 1, 500.000000, 999.991821, -0.000000, -0.327316, -0.000000, -98.197487, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.049998, 0.016666, 0, 1, 500.000000, 999.983643, -0.000000, -0.490959, -0.000000, -98.189957, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.066664, 0.016666, 0, 1, 500.000000, 999.972717, -0.000000, -0.654582, -0.000000, -98.177399, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.083330, 0.016666, 0, 1, 500.000000, 999.959106, -0.000000, -0.818175, -0.000000, -98.159828, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.099996, 0.016666, 0, 1, 500.000000, 999.942749, -0.000000, -0.981731, -0.000000, -98.137238, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.116662, 0.016666, 0, 1, 500.000000, 999.923645, -0.000000, -1.145240, -0.000000, -98.109642, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.143232, 0.026570, 0, 1, 500.000000, 999.886292, -0.000000, -1.405831, -0.000000, -98.077034, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.162567, 0.019335, 0, 1, 500.000000, 999.855469, -0.000000, -1.595342, -0.000000, -98.014709, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.181568, 0.019001, 0, 1, 500.000000, 999.821594, -0.000000, -1.781479, -0.000000, -97.961395, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.200411, 0.018843, 0, 1, 500.000000, 999.784546, -0.000000, -1.965956, -0.000000, -97.902466, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.219463, 0.019052, 0, 1, 500.000000, 999.743530, -0.000000, -2.152357, -0.000000, -97.837654, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.237608, 0.018145, 0, 1, 500.000000, 999.701233, -0.000000, -2.329752, -0.000000, -97.765686, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.255203, 0.017595, 0, 1, 500.000000, 999.657227, -0.000000, -2.501640, -0.000000, -97.691147, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.273038, 0.017835, 0, 1, 500.000000, 999.609497, -0.000000, -2.675733, -0.000000, -97.613289, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.290448, 0.017410, 0, 1, 500.000000, 999.559937, -0.000000, -2.845531, -0.000000, -97.528786, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.307827, 0.017379, 0, 1, 500.000000, 999.507568, -0.000000, -3.014874, -0.000000, -97.440903, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.325210, 0.017383, 0, 1, 500.000000, 999.452209, -0.000000, -3.184093, -0.000000, -97.347862, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.342708, 0.017498, 0, 1, 500.000000, 999.393494, -0.000000, -3.354260, -0.000000, -97.249519, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.360253, 0.017545, 0, 1, 500.000000, 999.331665, -0.000000, -3.524702, -0.000000, -97.145210, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.378823, 0.018570, 0, 1, 500.000000, 999.262878, -0.000000, -3.704896, -0.000000, -97.035294, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.396171, 0.017348, 0, 1, 500.000000, 999.195679, -0.000000, -3.873021, -0.000000, -96.913162, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.413491, 0.017320, 0, 1, 500.000000, 999.125671, -0.000000, -4.040668, -0.000000, -96.793716, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.433338, 0.019847, 0, 1, 500.000000, 999.041687, -0.000000, -4.232528, -0.000000, -96.669342, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.450653, 0.017315, 0, 1, 500.000000, 998.965515, -0.000000, -4.399653, -0.000000, -96.520531, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.468961, 0.018308, 0, 1, 500.000000, 998.881714, -0.000000, -4.576115, -0.000000, -96.385284, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.486339, 0.017378, 0, 1, 500.000000, 998.799255, -0.000000, -4.743355, -0.000000, -96.236794, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.503204, 0.016865, 0, 1, 500.000000, 998.716553, -0.000000, -4.905412, -0.000000, -96.090675, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.520974, 0.017770, 0, 1, 500.000000, 998.626343, -0.000000, -5.075905, -0.000000, -95.944084, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.538980, 0.018006, 0, 1, 500.000000, 998.531860, -0.000000, -5.248374, -0.000000, -95.784546, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
