GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..,  use air resistance
0.016666, 0.016666, 0, 1, 500.000000, 999.997253, 0.000000, -0.163660, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.033332, 0.016666, 0, 1, 500.000000, 999.991821, 0.000000, -0.327320, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.049998, 0.016666, 0, 1, 500.000000, 999.983643, 0.000000, -0.490980, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.066664, 0.016666, 0, 1, 500.000000, 999.972717, 0.000000, -0.654640, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.083330, 0.016666, 0, 1, 500.000000, 999.959106, 0.000000, -0.818301, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.099996, 0.016666, 0, 1, 500.000000, 999.942749, 0.000000, -0.981961, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.116662, 0.016666, 0, 1, 500.000000, 999.923645, 0.000000, -1.145621, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.133328, 0.016666, 0, 1, 500.000000, 999.901794, 0.000000, -1.309281, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.160240, 0.026912, 0, 1, 500.000000, 999.859436, 0.000000, -1.573557, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.177833, 0.017593, 0, 1, 500.000000, 999.828735, 0.000000, -1.746320, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.194692, 0.016859, 0, 1, 500.000000, 999.796509, 0.000000, -1.911875, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.212634, 0.017942, 0, 1, 500.000000, 999.759033, 0.000000, -2.088066, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
