GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..,  use air resistance
0.022482, 0.022482, 0, 1, 0.222925, 25.217960, 9.915692, 9.694920, -37.499992, -135.699997, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.039148, 0.016666, 0, 1, 0.387167, 25.375818, 9.854909, 9.471829, -36.471447, -133.859421, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.055814, 0.016666, 0, 1, 0.550416, 25.529993, 9.795333, 9.250909, -35.746899, -132.557358, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.072480, 0.016666, 0, 1, 0.712691, 25.680521, 9.736915, 9.032078, -35.052135, -131.303940, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.089146, 0.016666, 0, 1, 0.874011, 25.827436, 9.679606, 8.815258, -34.386475, -130.097305, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.105812, 0.016666, 0, 1, 1.034394, 25.970770, 9.623360, 8.600374, -33.749275, -128.935608, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.122478, 0.016666, 0, 1, 1.193857, 26.110554, 9.568129, 8.387354, -33.139915, -127.817070, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.139144, 0.016666, 0, 1, 1.352415, 26.246817, 9.513867, 8.176129, -32.557774, -126.739922, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.165530, 0.026386, 0, 1, 1.601220, 26.453800, 9.429426, 7.844451, -32.002239, -125.702431, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.184589, 0.019059, 0, 1, 1.779803, 26.598799, 9.370014, 7.607866, -31.172485, -124.132767, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.204047, 0.019458, 0, 1, 1.960965, 26.742174, 9.310445, 7.368423, -30.614155, -123.056793, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.223619, 0.019572, 0, 1, 2.142037, 26.881716, 9.251578, 7.129638, -30.076887, -122.003296, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.243861, 0.020242, 0, 1, 2.328096, 27.021076, 9.191725, 6.884736, -29.568895, -120.986977, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.260828, 0.016967, 0, 1, 2.483215, 27.134436, 9.142391, 6.681168, -29.076468, -119.978699, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.278606, 0.017778, 0, 1, 2.644842, 27.249447, 9.091388, 6.469315, -28.689182, -119.165771, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.301421, 0.022815, 0, 1, 2.850789, 27.390884, 9.026806, 6.199316, -28.306822, -118.342773, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.319832, 0.018411, 0, 1, 3.016037, 27.501043, 8.975533, 5.983307, -27.849241, -117.325951, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.337226, 0.017394, 0, 1, 3.171326, 27.601591, 8.927687, 5.780603, -27.507050, -116.536873, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.354983, 0.017757, 0, 1, 3.328997, 27.700586, 8.879379, 5.574951, -27.204510, -115.814697, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.372481, 0.017498, 0, 1, 3.483544, 27.794613, 8.832283, 5.373551, -26.915277, -115.098862, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.390055, 0.017574, 0, 1, 3.637940, 27.885513, 8.785451, 5.172482, -26.648663, -114.413025, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.408584, 0.018529, 0, 1, 3.799819, 27.977449, 8.736538, 4.961729, -26.398163, -113.742065, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.427093, 0.018509, 0, 1, 3.960628, 28.065413, 8.688134, 4.752481, -26.151480, -113.052177, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.446192, 0.019099, 0, 1, 4.125617, 28.152081, 8.638626, 4.537848, -25.921680, -112.379372, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.465697, 0.019505, 0, 1, 4.293135, 28.236341, 8.588497, 4.319976, -25.700441, -111.700378, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.482405, 0.016708, 0, 1, 4.435920, 28.305420, 8.545909, 4.134482, -25.489561, -111.021141, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.501243, 0.018838, 0, 1, 4.596010, 28.379385, 8.498211, 3.926417, -25.319870, -110.449669, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.518494, 0.017251, 0, 1, 4.741864, 28.443851, 8.454844, 3.736975, -25.139008, -109.814949, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.538300, 0.019806, 0, 1, 4.908341, 28.513580, 8.405364, 3.520611, -24.981966, -109.241837, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.555831, 0.017531, 0, 1, 5.054933, 28.571962, 8.361870, 3.330239, -24.810020, -108.591751, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.573921, 0.018090, 0, 1, 5.205392, 28.628672, 8.317252, 3.134825, -24.664032, -108.022820, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.591332, 0.017411, 0, 1, 5.349461, 28.679995, 8.274564, 2.947760, -24.518017, -107.440994, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.611201, 0.019869, 0, 1, 5.512906, 28.734344, 8.226122, 2.735389, -24.380716, -106.885475, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.630770, 0.019569, 0, 1, 5.672955, 28.783804, 8.178714, 2.527457, -24.226286, -106.255844, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.649291, 0.018521, 0, 1, 5.823607, 28.826992, 8.134125, 2.331801, -24.075024, -105.639877, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.667492, 0.018201, 0, 1, 5.970863, 28.865953, 8.090568, 2.140581, -23.931225, -105.060341, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.686042, 0.018550, 0, 1, 6.120125, 28.902065, 8.046441, 1.946745, -23.788034, -104.493774, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.704267, 0.018225, 0, 1, 6.265986, 28.934093, 8.003359, 1.757352, -23.639006, -103.919189, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.722808, 0.018541, 0, 1, 6.413569, 28.963123, 7.959809, 1.565717, -23.488487, -103.357529, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.741138, 0.018330, 0, 1, 6.558688, 28.988369, 7.917045, 1.377305, -23.330172, -102.789116, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.759783, 0.018645, 0, 1, 6.705496, 29.010494, 7.873848, 1.186696, -23.167641, -102.230408, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.776910, 0.017127, 0, 1, 6.839677, 29.027836, 7.834464, 1.012573, -22.995358, -101.665710, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.795705, 0.018795, 0, 1, 6.986119, 29.043295, 7.791554, 0.822460, -22.830374, -101.150734, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.814274, 0.018569, 0, 1, 7.130020, 29.055099, 7.749512, 0.635675, -22.641245, -100.589966, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.832914, 0.018640, 0, 1, 7.273691, 29.063473, 7.707673, 0.449198, -22.445721, -100.041176, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.851562, 0.018648, 0, 1, 7.416650, 29.068390, 7.666199, 0.263658, -22.240479, -99.496162, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.870916, 0.019354, 0, 1, 7.564197, 29.069786, 7.623570, 0.072135, -22.025970, -98.957520, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.889556, 0.018640, 0, 1, 7.705543, 29.067711, 7.582947, -0.111294, -21.793583, -98.406212, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.908250, 0.018694, 0, 1, 7.846545, 29.062210, 7.542642, -0.294278, -21.560583, -97.883553, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.927284, 0.019034, 0, 1, 7.989339, 29.053082, 7.502065, -0.479608, -21.318098, -97.368271, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.946654, 0.019370, 0, 1, 8.133864, 29.040157, 7.461267, -0.667213, -21.062544, -96.853462, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.965309, 0.018655, 0, 1, 8.272330, 29.024357, 7.422475, -0.846937, -20.794130, -96.340515, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
0.983839, 0.018530, 0, 1, 8.409163, 29.005371, 7.384436, -1.024561, -20.528471, -95.857605, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.002377, 0.018538, 0, 1, 8.545360, 28.983099, 7.346880, -1.201393, -20.258434, -95.389221, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.020950, 0.018573, 0, 1, 8.681124, 28.957510, 7.309766, -1.377711, -19.983068, -94.932281, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.040215, 0.019265, 0, 1, 8.821215, 28.927462, 7.271808, -1.559739, -19.702991, -94.486465, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.058658, 0.018443, 0, 1, 8.954668, 28.895496, 7.236012, -1.733171, -19.409216, -94.036888, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.077014, 0.018356, 0, 1, 9.086848, 28.860527, 7.200903, -1.905018, -19.126249, -93.618874, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.094921, 0.017907, 0, 1, 9.215191, 28.823425, 7.167159, -2.071938, -18.844162, -93.214722, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.113216, 0.018295, 0, 1, 9.345693, 28.782412, 7.133185, -2.241773, -18.569826, -92.831688, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.131470, 0.018254, 0, 1, 9.475292, 28.738409, 7.099796, -2.410534, -18.291666, -92.451408, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.149745, 0.018275, 0, 1, 9.604439, 28.691280, 7.066868, -2.578815, -18.017666, -92.082611, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.168025, 0.018280, 0, 1, 9.733028, 28.641075, 7.034424, -2.746485, -17.748260, -91.723373, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.186549, 0.018524, 0, 1, 9.862734, 28.587065, 7.002035, -2.915745, -17.485081, -91.373207, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.206236, 0.019687, 0, 1, 9.999915, 28.526134, 6.968122, -3.094950, -17.226204, -91.026764, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.224868, 0.018632, 0, 1, 10.129156, 28.465322, 6.936520, -3.263880, -16.961184, -90.666550, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.243129, 0.018261, 0, 1, 10.255266, 28.402708, 6.905985, -3.428835, -16.721560, -90.331909, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.261415, 0.018286, 0, 1, 10.380998, 28.336998, 6.875816, -3.593424, -16.498497, -90.008461, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.280479, 0.019064, 0, 1, 10.511486, 28.265234, 6.844765, -3.764405, -16.287964, -89.687614, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.298871, 0.018392, 0, 1, 10.636831, 28.192976, 6.815185, -3.928746, -16.083265, -89.354706, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.317176, 0.018305, 0, 1, 10.761050, 28.118076, 6.786077, -4.091722, -15.901175, -89.033455, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.335336, 0.018160, 0, 1, 10.883766, 28.040846, 6.757501, -4.252822, -15.735797, -88.711967, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.353585, 0.018249, 0, 1, 11.006565, 27.960293, 6.729054, -4.414124, -15.588072, -88.389671, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.372017, 0.018432, 0, 1, 11.130070, 27.875940, 6.700565, -4.576438, -15.456602, -88.060776, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.390207, 0.018190, 0, 1, 11.251446, 27.789793, 6.672658, -4.736004, -15.341539, -87.721832, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.408458, 0.018251, 0, 1, 11.372721, 27.700445, 6.644834, -4.895480, -15.245775, -87.379120, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.426699, 0.018241, 0, 1, 11.493424, 27.608252, 6.617167, -5.054223, -15.167600, -87.025497, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.445161, 0.018462, 0, 1, 11.615076, 27.511986, 6.589275, -5.214216, -15.107407, -86.660889, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.463968, 0.018807, 0, 1, 11.738468, 27.410870, 6.560943, -5.376482, -15.064614, -86.279091, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.482297, 0.018329, 0, 1, 11.858218, 27.309439, 6.533377, -5.533883, -15.039491, -85.875618, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.500510, 0.018213, 0, 1, 11.976712, 27.205814, 6.505999, -5.689545, -15.032528, -85.467186, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.519925, 0.019415, 0, 1, 12.102459, 27.092146, 6.476794, -5.854661, -15.042214, -85.045464, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.538287, 0.018362, 0, 1, 12.220878, 26.981791, 6.449122, -6.009962, -15.070103, -84.577461, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.556454, 0.018167, 0, 1, 12.337540, 26.869831, 6.421668, -6.162776, -15.112332, -84.116760, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.574780, 0.018326, 0, 1, 12.454714, 26.754084, 6.393870, -6.316061, -15.168477, -83.643036, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.593110, 0.018330, 0, 1, 12.571402, 26.635517, 6.365938, -6.468469, -15.238737, -83.146706, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.611288, 0.018178, 0, 1, 12.686615, 26.515203, 6.338086, -6.618676, -15.321761, -82.631454, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.629496, 0.018208, 0, 1, 12.801508, 26.391968, 6.310017, -6.768167, -15.415737, -82.101799, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.647644, 0.018148, 0, 1, 12.915511, 26.266453, 6.281850, -6.916169, -15.520521, -81.552582, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.665882, 0.018238, 0, 1, 13.029559, 26.137623, 6.253335, -7.063872, -15.634595, -80.986679, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.684187, 0.018305, 0, 1, 13.143498, 26.005625, 6.224491, -7.211044, -15.757950, -80.399551, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.702360, 0.018173, 0, 1, 13.256091, 25.871943, 6.195614, -7.356050, -15.889569, -79.792007, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.720632, 0.018272, 0, 1, 13.368762, 25.734890, 6.166330, -7.500711, -16.027006, -79.171143, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.738809, 0.018177, 0, 1, 13.480313, 25.595955, 6.136936, -7.643455, -16.171066, -78.529541, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.758021, 0.019212, 0, 1, 13.597613, 25.446234, 6.105583, -7.793067, -16.319315, -77.874550, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.776517, 0.018496, 0, 1, 13.709978, 25.299454, 6.075101, -7.935791, -16.480501, -77.164551, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.794740, 0.018223, 0, 1, 13.820132, 25.152300, 6.044780, -8.075132, -16.639009, -76.464767, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.811909, 0.017169, 0, 1, 13.923420, 25.011425, 6.015940, -8.205205, -16.797586, -75.760345, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.830240, 0.018331, 0, 1, 14.033129, 24.858492, 5.984872, -8.342841, -16.948442, -75.083832, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.848495, 0.018254, 0, 1, 14.141807, 24.703724, 5.953638, -8.478556, -17.110582, -74.348045, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
1.866871, 0.018377, 0, 1, 14.250633, 24.545427, 5.921896, -8.613815, -17.272375, -73.602463, 10.000000, 0.000000, 0.000000, 0.000000, 0.150000, 1, 
