GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..,  use air resistance
0.017270, 0.017270, 0, 1, 0.172700, 25.169771, 10.000000, 9.830409, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.033936, 0.016666, 0, 1, 0.339360, 25.330877, 10.000000, 9.666749, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.050602, 0.016666, 0, 1, 0.506020, 25.489256, 10.000000, 9.503089, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.067268, 0.016666, 0, 1, 0.672680, 25.644907, 10.000000, 9.339429, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.083934, 0.016666, 0, 1, 0.839340, 25.797831, 10.000000, 9.175769, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.100600, 0.016666, 0, 1, 1.006000, 25.948027, 10.000000, 9.012109, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.117266, 0.016666, 0, 1, 1.172660, 26.095495, 10.000000, 8.848449, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.133932, 0.016666, 0, 1, 1.339320, 26.240236, 10.000000, 8.684789, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.150598, 0.016666, 0, 1, 1.505980, 26.382250, 10.000000, 8.521129, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.176218, 0.025620, 0, 1, 1.762180, 26.594116, 10.000000, 8.269540, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.194438, 0.018220, 0, 1, 1.944380, 26.741528, 10.000000, 8.090619, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.212251, 0.017813, 0, 1, 2.122510, 26.882530, 10.000000, 7.915695, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.230807, 0.018556, 0, 1, 2.308070, 27.026033, 10.000000, 7.733475, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.251269, 0.020462, 0, 1, 2.512690, 27.180164, 10.000000, 7.532538, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.288411, 0.037142, 0, 1, 2.884110, 27.446390, 10.000000, 7.167804, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.306898, 0.018487, 0, 1, 3.068980, 27.575544, 10.000000, 6.986261, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.324968, 0.018070, 0, 1, 3.249680, 27.698580, 10.000000, 6.808814, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.342701, 0.017733, 0, 1, 3.427010, 27.816233, 10.000000, 6.634676, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.360449, 0.017748, 0, 1, 3.604490, 27.930891, 10.000000, 6.460391, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.378195, 0.017746, 0, 1, 3.781950, 28.042444, 10.000000, 6.286125, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.395814, 0.017619, 0, 1, 3.958140, 28.150150, 10.000000, 6.113106, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.414670, 0.018856, 0, 1, 4.146700, 28.261927, 10.000000, 5.927940, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.432408, 0.017738, 0, 1, 4.324080, 28.363987, 10.000000, 5.753753, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.451403, 0.018995, 0, 1, 4.514030, 28.469736, 10.000000, 5.567222, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.469136, 0.017733, 0, 1, 4.691360, 28.565372, 10.000000, 5.393084, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.488641, 0.019505, 0, 1, 4.886410, 28.666828, 10.000000, 5.201545, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.506106, 0.017465, 0, 1, 5.061060, 28.754677, 10.000000, 5.030038, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.524098, 0.017992, 0, 1, 5.240980, 28.841999, 10.000000, 4.853357, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.541920, 0.017822, 0, 1, 5.419200, 28.925377, 10.000000, 4.678345, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.559569, 0.017649, 0, 1, 5.595690, 29.004887, 10.000000, 4.505032, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.577743, 0.018174, 0, 1, 5.777430, 29.083517, 10.000000, 4.326563, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.595798, 0.018055, 0, 1, 5.957980, 29.158432, 10.000000, 4.149263, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.613676, 0.017878, 0, 1, 6.136760, 29.229473, 10.000000, 3.973701, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.631796, 0.018120, 0, 1, 6.317960, 29.298252, 10.000000, 3.795763, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.649529, 0.017733, 0, 1, 6.495290, 29.362474, 10.000000, 3.621624, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.667736, 0.018207, 0, 1, 6.677360, 29.425158, 10.000000, 3.442832, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.685791, 0.018055, 0, 1, 6.857910, 29.484118, 10.000000, 3.265532, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.703760, 0.017969, 0, 1, 7.037600, 29.539625, 10.000000, 3.089076, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.721460, 0.017700, 0, 1, 7.214600, 29.591225, 10.000000, 2.915262, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.739617, 0.018157, 0, 1, 7.396170, 29.640919, 10.000000, 2.736960, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.758324, 0.018707, 0, 1, 7.583240, 29.688683, 10.000000, 2.553258, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
0.777565, 0.019241, 0, 1, 7.775650, 29.734175, 10.000000, 2.364311, 0.000000, -98.199997, 10.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 
