GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..,  use air resistance
0.110670, 0.110670, 0, 1, 1.083735, 25.963461, 9.792494, 8.705714, -9.374998, -58.474998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.136911, 0.026241, 0, 1, 1.339521, 26.184097, 9.747549, 8.408071, -8.563860, -56.713440, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.159034, 0.022123, 0, 1, 1.554343, 26.364594, 9.710350, 8.158735, -8.407243, -56.351948, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.180219, 0.021185, 0, 1, 1.759313, 26.532404, 9.675248, 7.921206, -8.284513, -56.060734, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.203903, 0.023684, 0, 1, 1.987545, 26.713751, 9.636526, 7.656927, -8.174788, -55.792767, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.225820, 0.021917, 0, 1, 2.197974, 26.876236, 9.601192, 7.413626, -8.060939, -55.505009, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.250063, 0.024243, 0, 1, 2.429800, 27.049471, 9.562578, 7.145744, -7.963825, -55.249325, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.272369, 0.022306, 0, 1, 2.642320, 27.203392, 9.527490, 6.900479, -7.865336, -54.977463, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.289233, 0.016864, 0, 1, 2.802549, 27.316648, 9.501240, 6.715862, -7.782858, -54.736893, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.311407, 0.022174, 0, 1, 3.012470, 27.460201, 9.466978, 6.473896, -7.725566, -54.560745, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.345558, 0.034151, 0, 1, 3.333990, 27.668617, 9.414682, 6.102772, -7.656500, -54.335819, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.365584, 0.020026, 0, 1, 3.521922, 27.786499, 9.384390, 5.886480, -7.563387, -54.002728, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.383500, 0.017916, 0, 1, 3.689570, 27.888506, 9.357458, 5.693652, -7.516082, -53.814560, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.401965, 0.018465, 0, 1, 3.861846, 27.989981, 9.329842, 5.495522, -7.477975, -53.650059, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.422549, 0.020584, 0, 1, 4.053261, 28.098568, 9.299202, 5.275340, -7.442615, -53.483898, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.441572, 0.019023, 0, 1, 4.229623, 28.195063, 9.271019, 5.072546, -7.407577, -53.302238, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.459624, 0.018052, 0, 1, 4.396503, 28.283169, 9.244378, 4.880699, -7.379011, -53.137352, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.482877, 0.023253, 0, 1, 4.610667, 28.390930, 9.210173, 4.634295, -7.355011, -52.983181, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.503851, 0.020974, 0, 1, 4.803197, 28.483486, 9.179433, 4.412863, -7.328097, -52.787289, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.523919, 0.020068, 0, 1, 4.986821, 28.567806, 9.150105, 4.201696, -7.307250, -52.612843, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.540729, 0.016810, 0, 1, 5.140223, 28.635473, 9.125596, 4.025367, -7.289917, -52.447506, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.619887, 0.079158, 0, 1, 5.853467, 28.888559, 9.010388, 3.197217, -7.277064, -52.309967, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.637508, 0.017621, 0, 1, 6.011790, 28.941689, 8.984909, 3.015138, -7.229730, -51.665375, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.656336, 0.018828, 0, 1, 6.180446, 28.994804, 8.957720, 2.821123, -7.220430, -51.523018, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.677931, 0.021595, 0, 1, 6.373216, 29.050936, 8.926579, 2.599252, -7.210353, -51.370811, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.697385, 0.019454, 0, 1, 6.546329, 29.097626, 8.898572, 2.400059, -7.198211, -51.195984, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.723184, 0.025799, 0, 1, 6.774946, 29.152750, 8.861492, 2.136712, -7.186373, -51.038258, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.740809, 0.017625, 0, 1, 6.930685, 29.187252, 8.836222, 1.957541, -7.168794, -50.828564, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.758342, 0.017533, 0, 1, 7.085170, 29.218458, 8.811131, 1.779809, -7.155220, -50.685139, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.777630, 0.019288, 0, 1, 7.254588, 29.249027, 8.783587, 1.584837, -7.140223, -50.542294, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.795846, 0.018216, 0, 1, 7.414117, 29.274553, 8.757642, 1.401274, -7.121778, -50.384995, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.813988, 0.018142, 0, 1, 7.572531, 29.296669, 8.731872, 1.218996, -7.102292, -50.236408, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.832405, 0.018417, 0, 1, 7.732865, 29.315722, 8.705791, 1.034500, -7.080715, -50.088490, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
