GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..,  use air resistance
0.016666, 0.016666, 0, 1, 15.000000, 19.997272, 0.000000, -0.163660, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.033332, 0.016666, 0, 1, 15.000000, 19.991817, 0.000000, -0.327320, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.049998, 0.016666, 0, 1, 15.000000, 19.983635, 0.000000, -0.490980, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.066664, 0.016666, 0, 1, 15.000000, 19.972725, 0.000000, -0.654640, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.083330, 0.016666, 0, 1, 15.000000, 19.959087, 0.000000, -0.818301, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.099996, 0.016666, 0, 1, 15.000000, 19.942722, 0.000000, -0.981961, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.116662, 0.016666, 0, 1, 15.000000, 19.923630, 0.000000, -1.145621, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.155792, 0.039130, 0, 1, 15.000000, 19.863766, 0.000000, -1.529877, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.172807, 0.017015, 0, 1, 15.000000, 19.834892, 0.000000, -1.696965, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.189988, 0.017181, 0, 1, 15.000000, 19.802837, 0.000000, -1.865682, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.207212, 0.017224, 0, 1, 15.000000, 19.767790, 0.000000, -2.034822, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.224246, 0.017034, 0, 1, 15.000000, 19.730280, 0.000000, -2.202096, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.241600, 0.017354, 0, 1, 15.000000, 19.689108, 0.000000, -2.372512, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.258285, 0.016685, 0, 1, 15.000000, 19.646790, 0.000000, -2.536359, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.275102, 0.016817, 0, 1, 15.000000, 19.601358, 0.000000, -2.701502, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.294354, 0.019252, 0, 1, 15.000000, 19.545710, 0.000000, -2.890556, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.312109, 0.017755, 0, 1, 15.000000, 19.491293, 0.000000, -3.064910, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.330794, 0.018685, 0, 1, 15.000000, 19.430597, 0.000000, -3.248397, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.348309, 0.017515, 0, 1, 15.000000, 19.370689, 0.000000, -3.420394, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.367664, 0.019355, 0, 1, 15.000000, 19.300810, 0.000000, -3.610461, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.385231, 0.017567, 0, 1, 15.000000, 19.234354, 0.000000, -3.782969, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.402052, 0.016821, 0, 1, 15.000000, 19.167942, 0.000000, -3.948151, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.421061, 0.019009, 0, 1, 15.000000, 19.089344, 0.000000, -4.134819, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
0.440682, 0.019621, 0, 1, 15.000000, 19.004435, 0.000000, -4.327497, 0.000000, -98.199997, 10.000000, 40.000000, 0.000000, 0.000000, 0.150000, 0, 
