GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..,  use air resistance
0.092137, 0.092137, 0, 1, 0.921370, 25.838005, 10.000000, 9.095215, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.113318, 0.021181, 0, 1, 1.133180, 26.026245, 10.000000, 8.887218, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.131538, 0.018220, 0, 1, 1.315380, 26.184910, 10.000000, 8.708297, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.157773, 0.026235, 0, 1, 1.577730, 26.406612, 10.000000, 8.450669, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.177200, 0.019427, 0, 1, 1.772000, 26.567078, 10.000000, 8.259896, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.196592, 0.019392, 0, 1, 1.965920, 26.723560, 10.000000, 8.069467, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.216598, 0.020006, 0, 1, 2.165980, 26.881067, 10.000000, 7.873008, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.234055, 0.017457, 0, 1, 2.340550, 27.015514, 10.000000, 7.701580, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.252748, 0.018693, 0, 1, 2.527480, 27.156048, 10.000000, 7.518015, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.269729, 0.016981, 0, 1, 2.697290, 27.280880, 10.000000, 7.351262, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
