GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..,  use air resistance
0.080778, 0.080778, 0, 1, 500.000000, 999.935913, 0.000000, -0.793240, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.112901, 0.032123, 0, 1, 500.000000, 999.900330, 0.000000, -1.108309, 0.000000, -49.041008, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.138595, 0.025694, 0, 1, 500.000000, 999.865356, 0.000000, -1.360032, 0.000000, -48.984840, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.165055, 0.026460, 0, 1, 500.000000, 999.822510, 0.000000, -1.618952, 0.000000, -48.926590, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.193518, 0.028463, 0, 1, 500.000000, 999.768494, 0.000000, -1.897059, 0.000000, -48.854279, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.213212, 0.019694, 0, 1, 500.000000, 999.727356, 0.000000, -2.089126, 0.000000, -48.762608, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.244178, 0.030966, 0, 1, 500.000000, 999.653320, 0.000000, -2.390678, 0.000000, -48.690830, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.264387, 0.020209, 0, 1, 500.000000, 999.601013, 0.000000, -2.586964, 0.000000, -48.564186, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.286509, 0.022122, 0, 1, 500.000000, 999.539063, 0.000000, -2.801426, 0.000000, -48.472588, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.330543, 0.044034, 0, 1, 500.000000, 999.396973, 0.000000, -3.227361, 0.000000, -48.364250, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.353382, 0.022839, 0, 1, 500.000000, 999.318237, 0.000000, -3.447179, 0.000000, -48.123512, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.376554, 0.023172, 0, 1, 500.000000, 999.233215, 0.000000, -3.669565, 0.000000, -47.985962, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.395694, 0.019140, 0, 1, 500.000000, 999.159485, 0.000000, -3.852688, 0.000000, -47.837589, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.422784, 0.027090, 0, 1, 500.000000, 999.048096, 0.000000, -4.111172, 0.000000, -47.708447, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.449365, 0.026581, 0, 1, 500.000000, 998.932129, 0.000000, -4.363774, 0.000000, -47.515461, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.473407, 0.024042, 0, 1, 500.000000, 998.821716, 0.000000, -4.591282, 0.000000, -47.314762, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.493836, 0.020429, 0, 1, 500.000000, 998.723999, 0.000000, -4.783820, 0.000000, -47.123760, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.515506, 0.021670, 0, 1, 500.000000, 998.615906, 0.000000, -4.987321, 0.000000, -46.954536, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.537176, 0.021670, 0, 1, 500.000000, 998.503418, 0.000000, -5.190014, 0.000000, -46.768120, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.557097, 0.019921, 0, 1, 500.000000, 998.396301, 0.000000, -5.375577, 0.000000, -46.574726, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.574996, 0.017899, 0, 1, 500.000000, 998.297119, 0.000000, -5.541647, 0.000000, -46.390923, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.593964, 0.018968, 0, 1, 500.000000, 998.188660, 0.000000, -5.716991, 0.000000, -46.220951, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.615436, 0.021472, 0, 1, 500.000000, 998.061646, 0.000000, -5.914687, 0.000000, -46.035873, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.638284, 0.022848, 0, 1, 500.000000, 997.921753, 0.000000, -6.124068, 0.000000, -45.820293, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.655051, 0.016767, 0, 1, 500.000000, 997.816528, 0.000000, -6.276929, 0.000000, -45.583981, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.677762, 0.022711, 0, 1, 500.000000, 997.669312, 0.000000, -6.483173, 0.000000, -45.406265, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
0.702785, 0.025023, 0, 1, 500.000000, 997.501404, 0.000000, -6.709179, 0.000000, -45.159542, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 1, 
