GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..,  use air resistance
0.104947, 0.104947, 0, 1, 500.000000, 999.891846, 0.000000, -1.030579, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.131704, 0.026757, 0, 1, 500.000000, 999.857239, 0.000000, -1.293333, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.153291, 0.021587, 0, 1, 500.000000, 999.824768, 0.000000, -1.505317, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.175648, 0.022357, 0, 1, 500.000000, 999.786194, 0.000000, -1.724863, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.202888, 0.027240, 0, 1, 500.000000, 999.731934, 0.000000, -1.992360, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.221960, 0.019072, 0, 1, 500.000000, 999.690369, 0.000000, -2.179647, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.244540, 0.022580, 0, 1, 500.000000, 999.636169, 0.000000, -2.401382, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.266973, 0.022433, 0, 1, 500.000000, 999.577332, 0.000000, -2.621675, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.290147, 0.023174, 0, 1, 500.000000, 999.511292, 0.000000, -2.849243, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.311552, 0.021405, 0, 1, 500.000000, 999.445801, 0.000000, -3.059440, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.335371, 0.023819, 0, 1, 500.000000, 999.367371, 0.000000, -3.293343, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.359174, 0.023803, 0, 1, 500.000000, 999.283386, 0.000000, -3.527088, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.382134, 0.022960, 0, 1, 500.000000, 999.197205, 0.000000, -3.752555, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.404187, 0.022053, 0, 1, 500.000000, 999.109680, 0.000000, -3.969116, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.429795, 0.025608, 0, 1, 500.000000, 999.001587, 0.000000, -4.220586, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.455283, 0.025488, 0, 1, 500.000000, 998.887634, 0.000000, -4.470879, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.474109, 0.018826, 0, 1, 500.000000, 998.799988, 0.000000, -4.655750, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.493710, 0.019601, 0, 1, 500.000000, 998.704956, 0.000000, -4.848232, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.517373, 0.023663, 0, 1, 500.000000, 998.584717, 0.000000, -5.080603, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.536362, 0.018989, 0, 1, 500.000000, 998.484680, 0.000000, -5.267075, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.553788, 0.017426, 0, 1, 500.000000, 998.389893, 0.000000, -5.438198, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.578075, 0.024287, 0, 1, 500.000000, 998.252014, 0.000000, -5.676696, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.594833, 0.016758, 0, 1, 500.000000, 998.154114, 0.000000, -5.841260, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
0.616274, 0.021441, 0, 1, 500.000000, 998.024353, 0.000000, -6.051811, 0.000000, -49.099998, 5.000000, 0.000000, 0.500000, 0.500000, 0.150000, 0, 
